Country	Length	Width	Height	Weight	Cost
RF	59.9	20.1	0	9.9	9999.99
RF	30.1	19.9	39.9	14.9	5000
notRF	45	0.1	0.1	9.9	9999.99
notRF	29.9	19.9	40.1	9.9	0.01
notRF	15	10	24.9	10.1	5000
RF	0.1	0.1	32	9.9	20000.01
notRF	60	0	32	9.9	10000
RF	59.9	30	40.1	0	5000
notRF	60.1	39.9	25	9.9	10000.01
RF	45	40.1	25.1	9.9	0
notRF	30	20	0	9.9	20000
RF	45	40	25	9.9	15000
RF	29.9	30	24.9	9.9	19999.99
RF	29.9	0	25.1	0.1	5000
RF	0	10	32	9.9	10000.01
notRF	59.9	40.1	39.9	9.9	20000.01
notRF	30.1	39.9	12	9.9	9999.99
RF	15	0	40	9.9	0
RF	30	40	0.1	9.9	20000.01
RF	15	19.9	12	9.9	10000
notRF	60.1	20.1	32	9.9	19999.99
RF	0	39.9	40.1	9.9	10000
notRF	60	30	40	9.9	10000.01
notRF	0.1	39.9	0	9.9	0
notRF	30	39.9	25.1	9.9	15000
notRF	30	0	40.1	9.9	19999.99
notRF	0	20	0.1	9.9	15000
notRF	30.1	40	40.1	9.9	10000.01
RF	60	20.1	12	9.9	0.01
notRF	0.1	20.1	40	15.1	5000
RF	60.1	0.1	24.9	9.9	0
notRF	60	0.1	39.9	9.9	19999.99
RF	30.1	20	0.1	9.9	19999.99
RF	0	19.9	25	9.9	0
RF	59.9	0	12	9.9	20000
notRF	60	40	24.9	9.9	9999.99
RF	60	40.1	0	15	5000
RF	0.1	30	0.1	10.1	5000
notRF	0.1	10	39.9	9.9	0.01
RF	0	0.1	0	12	5000
notRF	30.1	20.1	25	12	5000
notRF	15	0.1	32	0.1	5000
RF	29.9	10	0.1	9.9	0
RF	15	19.9	25.1	15.1	5000
notRF	0	40	40	9.9	19999.99
notRF	45	20	0	0.1	5000
notRF	30	0.1	12	9.9	10000.01
RF	30	20.1	24.9	0.1	5000
RF	0	20.1	25.1	9.9	10000.01
notRF	60.1	40	25.1	12	5000
notRF	60.1	10	12	0	5000
notRF	45	39.9	39.9	0	5000
notRF	45	10	40	9.9	10000
RF	30.1	30	0	9.9	0.01
notRF	30.1	40.1	32	10.1	5000
RF	0	40.1	24.9	15.1	5000
RF	29.9	0.1	25	9.9	10000
notRF	59.9	10	25	9.9	19999.99
