
TEST CASES
case	Country	Length	Width	Height	Weight	Cost	pairings
1	RF	0	0	0	0	0	15
2	notRF	0	0.1	0.1	0.1	0.01	15
3	RF	0.1	0	0.1	5	5000	14
4	notRF	0.1	0.1	0	9.9	9999.99	14
5	RF	15	0	12	0.1	9999.99	14
6	notRF	15	0.1	24.9	0	5000	14
7	RF	29.9	0	24.9	9.9	0.01	14
8	notRF	29.9	0.1	12	5	0	14
9	notRF	30	0	25	10	10000	15
10	RF	30	0.1	25.1	10.1	10000.01	15
11	RF	30.1	10	25	10.1	15000	14
12	notRF	30.1	19.9	25.1	10	19999.99	14
13	notRF	45	10	32	10	10000.01	14
14	RF	45	19.9	39.9	10.1	10000	14
15	RF	59.9	20	32	10.1	19999.99	14
16	notRF	59.9	20.1	39.9	10	15000	14
17	RF	60	20	40	10	20000	14
18	notRF	60	20.1	40.1	10.1	20000.01	14
19	notRF	60.1	20	40.1	12	0	13
20	RF	60.1	20.1	40	14.9	0.01	13
21	RF	0	30	40	12	20000.01	13
22	notRF	0	39.9	40.1	14.9	20000	13
23	RF	0.1	30	40.1	15	0.01	12
24	notRF	0.1	39.9	40	15.1	0	12
25	notRF	15	30	0	15.1	10000	11
26	RF	15	39.9	0.1	15	10000.01	11
27	notRF	29.9	40	0	15	5000	12
28	RF	29.9	40.1	0.1	15.1	9999.99	12
29	RF	30	40	0.1	0	15000	11
30	notRF	30	40.1	0	0.1	19999.99	11
31	~notRF	30.1	0	32	12	20000	10
32	~RF	30.1	0.1	39.9	14.9	20000.01	10
33	~notRF	45	20	0	5	0.01	10
34	~RF	45	20.1	0.1	9.9	0	10
35	~RF	59.9	10	0	12	5000	9
36	~notRF	59.9	19.9	0.1	14.9	9999.99	9
37	~notRF	60	10	12	0	10000	10
38	~RF	60	19.9	24.9	0.1	10000.01	10
39	~notRF	60.1	30	12	9.9	10000.01	10
40	~RF	60.1	39.9	24.9	5	10000	10
41	~RF	0	40	12	10	19999.99	9
42	~notRF	0	40.1	24.9	10.1	15000	9
43	~RF	0.1	40	25	0.1	20000	10
44	~notRF	0.1	40.1	25.1	0	20000.01	10
45	~RF	15	40	25.1	5	0	9
46	~notRF	15	40.1	25	9.9	0.01	9
47	~notRF	29.9	10	39.9	0.1	19999.99	9
48	~RF	29.9	19.9	32	0	15000	9
49	~notRF	30	10	40	15	9999.99	10
50	~RF	30	19.9	40.1	15.1	5000	10
51	~notRF	30.1	40	24.9	15.1	9999.99	9
52	~RF	30.1	40.1	12	15	5000	9
53	~notRF	45	0	25.1	14.9	15000	10
54	~RF	45	0.1	25	12	19999.99	10
55	~notRF	59.9	30	25	5	9999.99	9
56	~RF	59.9	39.9	25.1	9.9	5000	9
57	~notRF	60	30	0.1	10	5000	8
58	~RF	60	39.9	0	10.1	9999.99	8
59	~notRF	60.1	10	0.1	10.1	20000	9
60	~RF	60.1	19.9	0	10	20000.01	9
61	~RF	0	10	25.1	15.1	0.01	9
62	~notRF	0	19.9	25	15	0	9
63	~notRF	0.1	20	39.9	12	10000.01	9
64	~RF	0.1	20.1	32	14.9	10000	9
65	~notRF	15	20	32	0.1	20000.01	8
66	~RF	15	20.1	39.9	0	20000	8
67	~RF	29.9	20	25	14.9	5000	9
68	~notRF	29.9	20.1	25.1	12	9999.99	9
69	~RF	30	30	24.9	14.9	0	10
70	~notRF	30	39.9	12	12	0.01	10
71	~notRF	30.1	20	0.1	0	10000	8
72	~RF	30.1	20.1	0	0.1	10000.01	8
73	~notRF	45	40	40	9.9	10000	8
74	~RF	45	40.1	40.1	5	10000.01	8
75	~notRF	59.9	0	40	10.1	10000.01	8
76	~RF	59.9	0.1	40.1	10	10000	8
77	~notRF	60	40	32	5	0.01	8
78	~RF	60	40.1	39.9	9.9	0	8
79	~notRF	60.1	0	39.9	15	19999.99	9
80	~RF	60.1	0.1	32	15.1	15000	9
81	~RF	0	20	12	15.1	15000	6
82	~notRF	0	20.1	24.9	15	19999.99	6
83	~RF	0.1	10	24.9	10	20000.01	7
84	~notRF	0.1	19.9	12	10.1	20000	7
85	~notRF	15	10	40.1	14.9	19999.99	8
86	~RF	15	19.9	40	12	15000	8
87	~RF	29.9	30	25.1	0.1	20000	7
88	~notRF	29.9	39.9	25	0	20000.01	7
89	~RF	30	20	24.9	9.9	20000	7
90	~notRF	30	20.1	12	5	20000.01	7
91	~RF	30.1	30	32	9.9	19999.99	6
92	~notRF	30.1	39.9	39.9	5	15000	6
93	~notRF	45	30	39.9	15.1	5000	6
94	~RF	45	39.9	32	15	9999.99	6
95	~RF	59.9	40	40.1	0	0.01	6
96	~notRF	59.9	40.1	40	0.1	0	6
97	~RF	60	0	25	15.1	10000.01	7
98	~notRF	60	0.1	25.1	15	10000	7
99	~RF	60.1	40	39.9	12	9999.99	5
100	~notRF	60.1	40.1	32	14.9	5000	5
101	~RF	0	20	40	5	5000	4
102	~notRF	0	20.1	40.1	9.9	9999.99	4
103	~notRF	29.9	20	40.1	15	15000	4
104	~RF	29.9	20.1	40	15.1	19999.99	4
105	~RF	45	10	12	0	20000	3
106	~notRF	45	19.9	24.9	0.1	20000.01	3
107	~notRF	59.9	40	0	14.9	10000.01	4
108	~RF	59.9	40.1	0.1	12	10000	4
109	~RF	59.9	0	12	15	20000.01	5
110	~notRF	59.9	0.1	24.9	15.1	20000	5
111	~RF	30.1	10	40	5	0	4
112	~notRF	30.1	19.9	40.1	9.9	0.01	4
113	~notRF	60	30	0	0	15000	4
114	~RF	60	39.9	0.1	0.1	19999.99	4
115	~notRF	60.1	40	0.1	10.1	20000.01	3
116	~RF	60.1	40.1	0	10	20000	3
117	~RF	0	20	39.9	10	9999.99	3
118	~notRF	0	20.1	32	10.1	5000	3
119	~notRF	29.9	0	40.1	10	0	3
120	~RF	29.9	0.1	40	10.1	0.01	3
121	~RF	60.1	30	25	0	10000.01	3
122	~notRF	60.1	39.9	25.1	0.1	10000	3
123	~RF	0.1	10	40.1	0.1	15000	3
124	~notRF	0.1	19.9	40	0	19999.99	3
125	~RF	15	10	24.9	9.9	20000.01	2
126	~notRF	15	19.9	12	5	20000	2
127	~RF	30	20	32	15	0	2
128	~notRF	30	20.1	39.9	15.1	0.01	2
129	~RF	15	20	25.1	10.1	0	3
130	~notRF	15	20.1	25	10	0.01	3
131	~RF	60	30	12	14.9	~0	2
132	~notRF	60	39.9	24.9	12	~0.01	2
133	~RF	0	30	~0.1	5	10000	1
134	~notRF	0	39.9	~0	9.9	10000.01	1
135	~notRF	29.9	30	~32	0.1	10000	1
136	~RF	29.9	39.9	~39.9	0	10000.01	1
137	~notRF	~0.1	30	~25.1	15	20000	1
138	~RF	~0.1	39.9	~25	15.1	20000.01	1
139	~notRF	~30	30	~40	0	9999.99	1
140	~RF	~30	39.9	~40.1	0.1	5000	1
141	~notRF	~30.1	30	~24.9	10.1	~0	1
142	~RF	~30.1	39.9	~12	10	~0.01	1
143	~RF	~45	~0	~0	5	19999.99	1
144	~notRF	~45	~0.1	~0.1	9.9	15000	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
Length	Width	0	0	1	1
Length	Width	0	0.1	1	2
Length	Width	0	10	1	61
Length	Width	0	19.9	1	62
Length	Width	0	20	3	81, 101, 117
Length	Width	0	20.1	3	82, 102, 118
Length	Width	0	30	2	21, 133
Length	Width	0	39.9	2	22, 134
Length	Width	0	40	1	41
Length	Width	0	40.1	1	42
